#,Ticker,Company Name,Market Cap,Close,Previous Close,Change,% Change,Volume,Avg Volume,Relative Volume,Avg Dollar Volume,ADR %,Relative Measured Volatility,21 EMA,50 EMA,150 EMA,200 EMA,200 EMA 1M,52 Week Low,52 Week High,Sector,Industry,Exchange,Pocket Pivot,RS New High,Tight Range,Inside Day,Think 40,Episodic Pivot,RS Score,RS STS %,RS Rating,RS Rating 3M,RS Rating 6M,RS Rating 1Y,AS Rating 1M,AS Rating 3M,AS Rating 6M,AS Rating 1Y,Sector Rank,Industry Rank,Industry Rank By AS
1,MSFT,Microsoft Corporation,3686094077952,495.94,497.45,-1.51,-0.3,34532600,21255824,1.54,9443679801,1.19,28.64,476.25,453.29,428.43,423.94,412.13,344.79,499.3,Technology,Software - Infrastructure,NMS,0,0,0,0,1,0,20,81,79,28,57,85,78,88,78,58,1,30,56
2,NVDA,NVIDIA Corporation,3847144079360,157.75,155.09,2.66,1.72,258753300,218579968,1.13,28111151184,2.06,38.22,144.26,134.89,127.02,124.09,119.49,86.62,158.71,Technology,Semiconductors,NMS,1,1,0,0,1,0,31,100,86,31,93,99,88,92,77,72,1,21,4
3,AAPL,Apple Inc.,3003290746880,201.08,201.0,0.08,0.04,73114100,53625110,1.32,10851090465,1.84,29.66,200.74,203.78,213.13,213.83,216.81,169.21,260.1,Technology,Consumer Electronics,NMS,1,0,1,0,0,0,-11,5,18,60,82,79,45,18,16,30,1,90,67
4,AMZN,"Amazon.com, Inc.",2370642116608,223.3,217.12,6.18,2.85,119122800,44475232,2.39,8926895220,2.0,98.63,211.6,206.01,202.79,200.48,197.83,151.61,242.52,Consumer Cyclical,Internet Retail,NMS,1,0,0,0,1,0,12,100,70,43,81,85,79,76,43,63,10,24,44
5,GOOGL,Alphabet Inc.,2110724505600,178.53,173.54,4.99,2.88,108022600,41303522,2.38,6837986660,2.19,72.52,171.35,168.6,169.24,168.66,167.86,140.53,207.05,Communication Services,Internet Content & Information,NMS,1,0,0,0,0,0,6,48,59,32,80,91,63,76,32,33,5,57,62
6,META,"Meta Platforms, Inc.",1825630978048,733.63,726.09,7.54,1.04,18761600,14083098,1.33,8775512384,1.94,12.92,689.57,655.1,616.15,600.17,579.27,442.65,740.91,Communication Services,Internet Content & Information,NMS,0,0,0,1,1,0,30,100,86,72,81,93,88,86,84,83,5,57,62
7,AVGO,Broadcom Inc.,1270736879616,269.35,270.17,-0.82,-0.3,27453700,22885724,1.18,5236878622,2.68,1.67,251.54,233.49,208.6,200.19,188.23,128.5,271.85,Technology,Semiconductors,NMS,0,1,0,0,1,0,52,86,93,37,94,95,85,95,78,91,1,21,4
8,TSLA,"Tesla, Inc.",1049321799680,323.63,328.49,-4.86,-1.48,88826400,115281706,0.77,35783272123,5.52,13.57,326.14,316.63,306.29,299.84,294.18,182.0,488.54,Consumer Cyclical,Auto Manufacturers,NMS,1,0,0,1,0,0,21,19,80,62,96,19,7,83,10,90,10,41,130
9,BRK-B,Berkshire Hathaway Inc.,1049088163840,485.68,485.05,0.63,0.13,6122300,4913892,0.69,2486389340,1.16,30.71,491.96,499.43,490.13,481.65,479.74,403.82,542.07,Financial Services,Insurance - Diversified,NYQ,0,0,1,0,0,0,3,5,53,86,66,70,15,18,68,66,7,42,125
10,WMT,Walmart Inc.,776255438848,97.27,96.02,1.25,1.3,31429000,17799736,1.75,1718827598,1.68,51.97,96.63,95.85,91.62,88.96,87.2,66.67,105.3,Consumer Defensive,Discount Stores,NYQ,1,0,0,0,0,0,20,19,79,77,87,84,43,74,68,84,9,13,52
11,JPM,JPMorgan Chase & Co.,802463809536,287.11,288.75,-1.64,-0.57,17858900,8489044,1.26,2209327433,1.37,22.64,273.09,263.5,248.54,241.95,235.3,190.9,289.41,Financial Services,Banks - Diversified,NYQ,1,1,0,1,1,0,29,90,86,83,81,84,79,79,84,85,7,3,21
12,LLY,Eli Lilly and Company,696149409792,775.45,795.12,-19.67,-2.47,4110100,4169056,0.62,3247789641,2.46,84.44,779.27,780.89,798.89,798.49,802.29,677.09,972.53,Healthcare,Drug Manufacturers - General,NYQ,0,0,0,1,0,0,-8,14,22,43,52,95,76,22,43,23,11,116,103
13,V,Visa Inc.,675968712704,348.61,346.03,2.58,0.75,6600900,6482666,0.7,2273413392,2.01,17.55,353.68,352.06,335.37,327.3,320.58,252.7,375.51,Financial Services,Credit Services,NYQ,0,0,0,0,0,0,14,10,72,86,76,66,16,51,73,75,7,19,35
14,ORCL,Oracle Corporation,590528446464,210.24,212.82,-2.58,-1.21,14123300,11710050,0.71,2086743702,2.77,19.29,194.41,176.37,163.49,160.25,152.87,118.86,216.93,Technology,Software - Infrastructure,NYQ,0,0,0,1,1,1,41,57,90,37,81,83,96,94,86,87,1,30,56
15,SPY,SPDR S&P 500 ETF,564353302528,614.91,611.87,3.04,0.5,85980500,70353910,1.22,40710594749,0.85,50.14,598.12,585.6,574.15,568.6,561.8,481.8,616.39,Exchange Traded Fund,Exchange Traded Fund,PCX,0,0,1,0,1,0,10,52,67,57,69,78,66,69,63,61,2,52,53
16,NFLX,"Netflix, Inc.",563081510912,1323.12,1306.67,16.45,1.26,4066800,3791460,1.01,4339889075,1.9,49.6,1238.64,1173.09,1024.77,971.76,912.21,587.04,1331.34,Communication Services,Entertainment,NMS,1,1,0,0,1,0,61,100,94,90,90,92,85,92,93,94,5,18,32
17,MA,Mastercard Incorporated,495983034368,550.32,545.81,4.51,0.83,3836800,2736372,0.88,1525944860,1.95,21.58,561.55,560.14,540.99,531.15,522.97,428.86,594.71,Financial Services,Credit Services,NYQ,0,0,0,0,0,0,8,10,62,78,71,64,14,51,63,70,7,19,35
18,XOM,Exxon Mobil Corporation,474016808960,109.38,109.99,-0.61,-0.55,21999800,17169300,0.65,1836770172,1.99,11.55,108.81,107.69,108.44,108.63,108.7,97.8,126.34,Energy,Oil & Gas Integrated,NYQ,0,0,0,0,0,0,-2,43,33,70,32,62,74,20,66,35,12,72,28
19,COST,Costco Wholesale Corporation,436886929408,985.14,982.91,2.23,0.23,2128400,2085898,0.99,2092152851,1.85,11.62,997.84,997.01,967.62,947.2,934.54,793.0,1078.23,Consumer Defensive,Discount Stores,NMS,0,0,0,0,0,0,8,5,62,70,77,92,21,60,63,63,9,13,52
20,PG,The Procter & Gamble Company,374798155776,159.86,158.63,1.23,0.78,19256200,8057244,0.65,1309073049,1.24,39.91,161.33,162.79,164.37,164.1,164.56,156.58,180.43,Consumer Defensive,Household & Personal Products,NYQ,1,0,0,0,0,0,-4,10,29,60,58,70,13,25,39,33,9,83,113
21,JNJ,Johnson & Johnson,366709145600,152.41,152.01,0.4,0.26,10010400,8066200,0.6,1233581638,1.34,48.6,152.99,153.47,153.38,153.08,152.94,140.68,169.99,Healthcare,Drug Manufacturers - General,NYQ,0,0,1,0,0,0,0,5,42,74,29,30,29,21,69,54,11,116,103
22,HD,"The Home Depot, Inc.",366869741568,368.74,363.5,5.24,1.44,5503200,3368928,0.98,1218643786,1.63,59.43,361.1,362.86,369.58,369.12,370.84,326.31,439.37,Consumer Cyclical,Home Improvement Retail,NYQ,1,0,0,0,0,0,1,48,49,39,61,52,46,55,37,57,10,131,109
23,BAC,Bank of America Corporation,357462671360,47.12,47.46,-0.34,-0.72,56685500,39392954,0.88,1689072447,1.45,43.18,45.21,43.72,42.5,41.92,41.2,33.07,48.08,Financial Services,Banks - Diversified,NYQ,0,0,0,0,1,0,17,81,76,67,77,86,76,75,71,71,7,3,21
24,SAP,SAP SE,351886901248,301.09,295.55,5.54,1.87,1039400,1318898,0.74,382656093,1.31,94.94,296.57,291.86,272.09,262.64,254.54,194.93,311.4,Technology,Software - Application,NYQ,1,0,0,0,0,0,26,33,84,86,84,87,50,71,83,87,1,59,94
25,PLTR,Palantir Technologies Inc.,340416921600,130.74,146.31,-15.57,-10.64,200974000,94102632,2.05,11538314666,5.07,100.0,134.62,124.11,98.37,89.13,78.85,21.23,148.22,Technology,Software - Infrastructure,NMS,0,2,0,0,1,0,172,14,99,99,99,91,75,94,95,99,1,30,56
26,ABBV,AbbVie Inc.,322032369664,182.31,186.79,-4.48,-2.4,29263100,7087546,4.13,1311911311,1.97,100.0,186.48,187.28,186.19,184.15,183.43,163.52,218.66,Healthcare,Drug Manufacturers - General,NYQ,0,0,1,0,0,0,-2,5,33,81,56,70,23,14,63,57,11,116,103
27,ASML,ASML Holding N.V.,317085810688,795.95,798.09,-2.14,-0.27,1200600,1411974,0.85,1029508759,2.07,38.43,772.32,745.67,737.18,744.82,738.84,578.51,1110.09,Technology,Semiconductor Equipment & Materials,NMS,0,0,0,0,1,0,5,67,57,20,15,90,74,79,76,17,1,104,2
