#,Ticker,Company Name,Market Cap,Close,Previous Close,Change,% Change,Volume,Avg Volume,Relative Volume,Avg Dollar Volume,ADR %,Relative Measured Volatility,21 EMA,50 EMA,150 EMA,200 EMA,200 EMA 1M,52 Week Low,52 Week High,Sector,Industry,Exchange,Pocket Pivot,RS New High,Tight Range,Inside Day,Think 40,Episodic Pivot,RS Score,RS STS %,RS Rating,RS Rating 3M,RS Rating 6M,RS Rating 1Y,AS Rating 1M,AS Rating 3M,AS Rating 6M,AS Rating 1Y,Sector Rank,Industry Rank,Industry Rank By AS
1,RGC,Regencell Bioscience Holdings Limited,6774499328,13.7,14.68,-0.98,-6.68,809700,2798114,0.29,47558151,77.67,0.0,19.47,17.35,9.41,7.58,3.61,0.08,83.6,Healthcare,Drug Manufacturers - Specialty & Generic,NCM,0,0,0,1,0,1,7063,10,100,100,25,1,4,100,100,100,9,54,95
2,DFDV,DeFi Development Corp.,363802944,24.68,24.5,0.18,0.73,1444300,1970278,0.73,45412128,17.02,9.1,23.11,20.19,11.83,9.78,6.76,0.48,53.88,Technology,Software - Infrastructure,NCM,1,0,1,0,0,0,1920,67,100,100,35,4,16,99,100,100,1,44,86
3,QUBT,Quantum Computing Inc.,2790287616,17.67,18.94,-1.27,-6.71,33504100,31923134,1.05,490084600,10.52,24.24,17.96,15.28,10.8,9.53,7.48,0.53,27.15,Technology,Computer Hardware,NCM,0,0,0,1,0,1,1137,29,100,100,100,3,69,98,99,100,1,14,12
4,BSGM,"BioSig Technologies, Inc.",624551680,4.58,5.46,-0.88,-16.12,1577200,1245644,1.26,7308392,34.27,9.53,6.9,5.71,3.37,2.98,2.0,0.23,14.11,Healthcare,Medical Devices,NCM,0,0,0,0,0,0,781,5,100,46,99,0,1,100,99,100,9,114,117
5,QBTS,D-Wave Quantum Inc.,5046454784,16.15,15.83,0.32,2.02,31507900,75102106,0.42,1128127949,6.32,26.46,15.62,14.27,10.1,8.82,7.34,0.75,19.76,Technology,Computer Hardware,NYQ,0,0,1,1,0,0,705,67,100,100,100,15,71,98,100,100,1,14,12
6,NNNN,Anbio Biotechnology,2095804800,47.75,47.66,0.09,0.19,183300,119840,1.16,3177555,11.6,69.65,34.64,23.01,0.0,0.0,0.0,5.18,55.65,Healthcare,Medical Instruments & Supplies,NGM,0,1,0,1,1,1,695,86,100,83,47,38,100,100,100,100,9,131,103
7,NUTX,Nutex Health Inc.,631783808,113.73,116.06,-2.33,-2.01,219300,204358,1.05,26875209,10.69,2.98,122.55,123.11,94.12,83.25,74.96,5.85,184.28,Healthcare,Medical Care Facilities,NCM,0,0,0,1,0,1,580,5,100,100,99,0,10,6,100,100,9,115,128
8,RGTI,"Rigetti Computing, Inc.",4105418240,12.72,12.77,-0.05,-0.39,22548600,54481508,0.41,656126380,6.36,7.38,12.36,11.71,9.73,8.81,8.07,0.66,21.42,Technology,Computer Hardware,NCM,0,0,1,1,0,0,572,71,100,100,100,6,84,87,98,100,1,14,12
9,CRCL,Circle Internet Group,48369569792,195.33,204.7,-9.37,-4.58,14563600,36713711,0.39,6736235448,13.66,8.56,179.13,0.0,0.0,0.0,0.0,31.0,298.99,Financial Services,Capital Markets,NYQ,0,0,0,1,0,0,530,48,100,68,47,38,98,100,100,99,7,10,13
10,SBET,"SharpLink Gaming, Inc.",2074063744,28.97,23.88,5.09,21.31,68778800,15734218,4.26,342540146,8.65,100.0,18.44,17.23,12.51,11.95,11.48,2.28,124.12,Consumer Cyclical,Gambling,NCM,1,0,1,0,0,1,522,100,100,1,4,1,100,100,100,98,8,20,8
11,AEVA,"Aeva Technologies, Inc.",1458098944,26.5,26.77,-0.27,-1.01,2612300,2863982,0.89,65039904,13.61,6.31,27.98,22.75,13.64,11.69,7.7,2.36,38.8,Technology,Software - Infrastructure,NMS,0,0,0,1,0,0,504,19,100,99,81,3,89,100,100,100,1,44,86
12,PTHL,Pheton Holdings Ltd,451729984,20.61,21.52,-0.91,-4.23,6226000,919128,6.77,12748414,8.38,100.0,18.19,13.82,8.3,7.33,,1.32,28.77,Healthcare,Medical Devices,NCM,1,2,1,0,1,0,495,90,100,20,30,38,93,100,100,99,9,114,117
13,TOI,"The Oncology Institute, Inc.",272983680,2.97,3.21,-0.24,-7.48,2452100,2010718,1.22,5492975,7.73,36.17,2.65,2.52,1.84,1.64,1.45,0.12,3.5,Healthcare,Medical Care Facilities,NCM,0,0,0,0,0,1,460,90,100,100,2,1,93,90,100,99,9,115,128
14,MVST,"Microvast Holdings, Inc.",1018317312,3.13,3.18,-0.05,-1.57,5056700,9476994,0.53,33532456,9.28,14.34,3.52,3.33,2.44,2.18,1.85,0.15,4.72,Consumer Cyclical,Auto Parts,NCM,0,0,0,1,0,1,434,10,100,100,100,2,1,95,94,100,8,22,37
15,TGEN,Tecogen Inc.,159702608,6.32,7.5,-1.18,-15.73,1279600,495226,2.57,2904629,14.52,37.31,7.2,5.93,3.85,3.35,2.46,0.68,9.38,Industrials,Electrical Equipment & Parts,ASE,0,0,0,1,0,1,425,14,100,98,99,19,80,99,98,100,4,27,16
16,BMNR,"Bitmine Immersion Technologies, Inc.",2062391552,39.96,41.02,-1.06,-2.58,11854300,12747511,0.82,759338909,45.76,4.38,42.87,0.0,0.0,0.0,0.0,3.92,161.0,Financial Services,Capital Markets,ASE,0,0,0,0,0,1,416,57,100,68,47,38,100,100,100,99,7,10,13
17,SY,So-Young International Inc.,449992256,4.49,4.24,0.25,5.9,2337600,1565492,1.49,4721586,12.47,28.71,3.01,2.07,1.34,1.24,0.89,0.66,4.84,Healthcare,Health Information Services,NCM,0,2,0,1,1,1,403,100,100,27,17,17,100,100,100,99,9,61,106
18,NEON,Neonode Inc.,459515776,27.38,26.18,1.2,4.58,328300,369062,0.89,7162411,7.66,36.83,22.71,17.89,12.38,11.09,8.31,2.21,28.08,Technology,Electronic Components,NCM,0,0,0,0,0,1,402,95,100,99,99,78,99,99,99,100,1,15,24
19,TMC,TMC the metals company Inc.,3808868352,7.57,7.28,0.29,3.98,17806800,11370502,1.55,62573666,9.08,31.25,6.38,5.27,3.44,3.02,2.22,0.72,8.12,Basic Materials,Other Industrial Metals & Mining,NMS,1,0,0,0,1,1,401,95,100,97,21,28,99,99,100,99,5,29,14
20,SEZL,Sezzle Inc.,4437729792,133.32,135.81,-2.49,-1.83,859300,1223162,0.6,144840686,9.77,23.67,148.99,126.12,83.25,72.77,54.17,11.67,186.74,Financial Services,Credit Services,NCM,0,0,0,0,0,0,390,5,100,99,100,100,31,99,99,100,7,23,76
21,EPSM,Epsium Enterprise Limited,325199616,24.2,21.13,3.07,14.53,423900,297212,1.43,4546518,16.55,74.09,19.17,16.53,0.0,0.0,0.0,4.23,29.76,Consumer Defensive,Beverages - Wineries & Distilleries,NCM,1,0,0,1,0,1,389,95,100,60,47,38,94,100,100,99,11,136,32
22,NXTT,Next Technology Holding Inc.,1138651520,2.61,2.71,-0.1,-3.69,331800,8319114,0.04,21599314,15.97,6.53,2.32,1.91,1.66,1.84,1.73,0.22,6.0,Technology,Software - Application,NCM,0,0,0,1,0,1,388,86,99,0,82,7,100,100,67,5,1,69,75
23,AREN,"The Arena Group Holdings, Inc.",254926960,5.36,5.74,-0.38,-6.62,159000,300840,0.5,1903041,12.74,10.22,5.9,5.47,3.82,3.38,2.8,0.56,10.05,Communication Services,Internet Content & Information,ASE,0,0,1,0,0,0,366,5,99,99,91,3,61,99,100,99,2,38,55
24,TDUP,ThredUp Inc.,845466048,7.15,7.12,0.03,0.42,1289200,3024540,0.42,21396404,6.74,0.0,7.36,6.81,4.74,4.18,3.43,0.5,8.74,Consumer Cyclical,Internet Retail,NMS,0,0,0,1,0,0,365,29,99,99,71,12,24,97,100,99,8,21,50
25,PRCH,"Porch Group, Inc.",1255216000,12.16,12.38,-0.22,-1.78,1857200,2993718,0.61,31819893,6.45,45.99,11.84,10.53,7.71,6.88,5.77,1.05,13.59,Technology,Software - Application,NCM,0,2,0,1,1,0,351,57,99,99,98,70,88,98,99,99,1,69,75
26,ARQQ,Arqit Quantum Inc.,544613504,37.94,36.54,1.4,3.83,535500,1148154,0.46,34225435,10.68,4.11,34.9,29.53,22.41,20.89,17.37,3.72,52.79,Technology,Software - Infrastructure,NCM,1,0,0,1,0,1,328,57,99,98,99,2,99,98,98,99,1,44,86
27,OKLO,Oklo Inc.,8982872064,60.95,62.41,-1.46,-2.34,21905900,21613236,1.01,1099414008,8.37,23.49,55.81,49.7,37.26,33.64,28.46,5.35,73.55,Utilities,Utilities - Regulated Electric,NYQ,0,0,1,0,0,0,327,71,99,98,98,4,16,99,99,100,6,43,122
28,NEGG,"Newegg Commerce, Inc.",571289728,29.33,36.22,-6.89,-19.02,2061900,837676,2.46,13818451,15.83,19.0,20.86,14.36,10.88,11.22,9.49,3.32,56.0,Consumer Cyclical,Internet Retail,NCM,1,1,0,1,1,1,319,90,99,1,1,70,100,100,99,84,8,21,50
29,UMAC,"Unusual Machines, Inc.",282016736,11.23,11.6,-0.37,-3.19,7445900,4703716,1.56,40644594,9.98,25.56,8.92,7.91,7.23,6.86,6.4,1.28,23.62,Technology,Computer Hardware,ASE,1,0,0,0,1,1,313,90,99,99,100,2,97,97,54,100,1,14,12
30,NAK,Northern Dynasty Minerals Ltd.,1169212416,2.16,2.17,-0.01,-0.46,11437400,9362102,1.21,14330072,6.99,17.86,1.7,1.41,1.03,0.92,0.76,0.3,2.4,Basic Materials,Other Industrial Metals & Mining,ASE,1,1,0,1,1,1,312,90,99,99,96,73,99,98,99,100,5,29,14
31,AMPX,"Amprius Technologies, Inc.",902889536,7.49,6.73,0.76,11.29,16820500,5702600,2.95,24793505,5.89,55.45,5.03,4.01,3.07,2.93,2.5,0.61,7.77,Industrials,Electrical Equipment & Parts,NYQ,1,2,0,0,1,1,309,100,99,94,98,1,100,99,98,99,4,27,16
32,UAMY,United States Antimony Corporation,391842272,3.29,2.99,0.3,10.03,10451300,4546598,2.25,12513644,7.46,100.0,2.62,2.63,2.21,1.99,1.87,0.3,3.86,Basic Materials,Other Industrial Metals & Mining,ASE,1,0,0,1,0,1,294,100,99,100,100,50,85,41,98,100,5,29,14
33,ADUR,Aduro Clean Technologies Inc.,375726368,12.24,11.72,0.52,4.44,195900,294218,0.66,2665734,6.75,51.85,10.08,8.81,6.77,6.19,5.32,1.34,12.4,Industrials,Pollution & Treatment Controls,NCM,0,2,0,1,1,1,293,100,99,98,99,38,99,99,98,100,4,11,4
34,RKLB,Rocket Lab Corporation,21378519040,44.6,43.21,1.39,3.22,29956100,22783886,1.31,694131932,5.74,43.56,35.96,30.98,24.59,22.51,19.63,4.2,45.48,Industrials,Aerospace & Defense,NCM,1,2,0,0,1,1,283,100,99,99,100,68,99,98,97,100,4,7,59
